codice,nome,comune,Numero di sezioni del censimento,Superficie a fini statistici (Km2),Densità abitativa - Abitanti/Km2,Popolazione residente totale,Popolazione residente in età 0-14 anni,Stranieri residenti,Indice di vecchiaia,Incidenza dei residenti stranieri,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Incidenza degli alunni delle scuole primarie a tempo pieno,Incidenza degli alunni stranieri nelle scuole primarie,Incidenza degli alunni stranieri nelle scuole secondarie di I grado,Incidenza degli alunni stranieri nelle scuole secondarie di II grado,Incidenza degli alunni stranieri nelle scuole,Incidenza degli alunni tra i 6 e i 18 anni e la popolazione residente della stessa fascia di età,Incidenza degli alunni tra i 7 e i 9 anni e la popolazione residente della stessa fascia di età,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ","Uscita precoce dal sistema di istruzione (18-24 anni, stranieri) ","Uscita precoce dal sistema di istruzione (18-24 anni, femmine) ",Giovani di 18-24 anni usciti precocemente dal sistema di istruzione con genitori senza diploma,Indice di affollamento delle abitazioni occupate,Valore immobiliare medio delle abitazioni residenziali,Numero di Musei e Istituzioni similari,Visitatori dei Musei e delle Istituzioni similari,Musei con accesso ai disabili,Ospedali con pronto soccorso,Numero di biblioteche ,Numero di strutture con servizi integrativi per la prima infanzia,Numero di scuole primarie,Numero di scuole primarie a tempo pieno,Numero di scuole secondarie di I grado,Numero di scuole secondarie di II grado,Numero totale di scuole,Numero di stazioni ferroviarie,Prossimità dei musei ,Accessibilità della popolazione residente ai musei,Prossimità delle biblioteche,Accessibilità della popolazione residente alle biblioteche,Prossimità degli ospedali,Accessibilità della popolazione residente agli ospedali,Prossimità delle scuole,Accessibilità della popolazione residente ai servizi educativi per la prima infanzia,Accessibilità della popolazione residente alle scuole,Accessibilità della popolazione residente alle scuole primarie a tempo pieno,Accessibilità della popolazione residente alle scuole secondarie di II grado,Prossimità delle stazioni ferroviarie,Accessibilità della popolazione residente alle stazioni ferroviarie
,Centro Storico,Reggio di Calabria,333,1.47161,9037.041076,13299,1516,1132,238.918206,85.119182,20.670727,3.650138,79.647806,13.636364,7.940161,6.280193,6.270072,6.563979,667.030717,337.888199,58.698539,13.29789,19.795038,2.685185,0.234889,11.240073,20.277778,0.551572,8.079625,57.303371,6.791569,9.649123,0.357294,1197.712822,5,220273,0,0,1,7,5,3,5,7,17,2,0.49,100,0.35,91.954282,7.51,55.853824,0.056626,100,100,100,100,1.299497,63.56117
,Pineta Zerbi-Tremulini-Eremo,Reggio di Calabria,315,2.560696,5513.345013,14118,1591,985,243.306097,69.769089,20.463238,3.679689,77.983148,0,2.136752,8.57538,0,5.403509,96.872964,132.937685,56.323127,14.595997,23.308271,3.602684,0.162674,9.769296,20.653442,0.551268,11.886587,64.285714,10.986547,15.833333,0.364539,1050.30918,0,0,0,1,2,4,2,0,2,0,4,0,1.8,77.950135,1.58,95.126788,5.47,100,1.315366,98.349625,97.017991,78.268877,70.824479,3.088647,55.72319
,Santa Caterina-San Brunello Vito,Reggio di Calabria,136,5.705923,1794.976757,10242,1156,735,238.235294,71.763327,20.503808,4.044944,75.111359,0,3.525046,2.491103,0,3.170732,73.399459,147.807018,55.181787,15.092716,24.747134,3.435274,0.085161,11.226115,20.360285,0.530102,8.740741,42.424242,6.461538,17.730496,0.389261,938.924526,1,200,0,0,0,2,3,0,1,0,4,1,2.36,35.081039,1.82,52.245655,9.7,78.080453,2.087193,87.697715,93.946495,4.471783,7.664519,3.518338,44.356571
,Trabocchetto-Condera-Spirito Santo,Reggio di Calabria,145,5.269324,3172.512991,16717,2103,1125,181.883024,67.296764,23.174014,3.590874,74.927922,7.393715,5.545287,5.172414,4.587156,5.08346,60.475267,71.327014,55.35876,14.873636,22.828508,3.825289,0.028197,10.023655,20.489637,0.681044,8.353414,51.401869,5.059022,9.134615,0.405674,923.813782,0,0,0,0,0,3,4,2,1,1,6,0,2.38,45.067895,2.91,35.287432,8.23,86.097984,0.300064,63.737513,93.246396,76.760184,51.199378,3.361261,15.666687
,Ferrovieri-Stadio-Gebbione,Reggio di Calabria,221,2.230925,7677.533379,17128,2016,1413,228.720238,82.496497,21.421065,3.799003,73.587251,13.989637,11.917098,9.633028,12.660944,11.775701,52.089864,54.739336,53.219502,15.671111,24.139344,3.817859,0.142082,10.910405,21.549975,0.682427,8.591065,39.325843,7.192982,11.417323,0.38845,986.515939,0,0,0,0,0,1,2,1,1,1,4,1,2.36,20.498599,1.95,20.609528,10.8,2.136852,0.370524,100,100,58.202943,95.889771,0.981725,91.627744
,Sbarre,Reggio di Calabria,212,1.798486,9501.322847,17088,2151,1502,193.444909,87.89794,22.635768,4.257529,74.721272,0,11.60221,0,10.526316,10.862069,26.666667,25.446429,55.23934,14.989398,23.922499,3.633721,0.12045,10.227273,21.709831,0.567666,10.09772,49.090909,9.574468,19.622642,0.388805,958.680653,0,0,0,0,1,2,1,0,0,2,3,0,2.53,30.799391,0.61,56.688904,8.2,23.694991,0.539389,100,100,91.736891,100,1.729737,19.446395
,San Giorgio-Modena-San Sperato,Reggio di Calabria,205,2.696426,5454.256551,14707,1942,958,170.494336,65.139049,23.995376,4.630715,70.052116,12.5,9.855769,8.231707,1.616458,4.275534,109.444145,62.005277,53.652915,15.499929,24.775737,4.190539,0.083098,9.250344,21.853004,0.457851,10.278746,52.5,6.741573,17.928287,0.424657,851.455429,0,0,0,0,1,5,3,2,1,1,5,0,3.38,9.260896,1.09,40.796899,5.78,58.319168,0.457148,93.28891,98.782893,86.380635,90.161148,3.473628,0
,Catona-Salice-Rosalì-Villa San Giuseppe,Reggio di Calabria,307,16.155824,664.218662,10731,1433,575,171.458479,53.583077,23.734973,3.713421,70.350969,24.186047,9.302326,7.604563,7.692308,8.606557,50.296736,88.808664,51.707162,16.893282,25.630252,4.4098,0.045015,10.275229,19.443207,0.505247,8.618504,28.205128,9.51087,21.025641,0.414214,688.954431,0,0,0,0,0,2,3,1,1,1,5,1,8.85,0,9.59,0,12.78,0,2.476546,64.402199,74.541049,7.902339,0.093188,2.708063,47.879974
,Gallico-Sambatello,Reggio di Calabria,186,15.216164,644.1834,9802,1465,488,137.269625,49.785758,25.178535,2.98989,73.717828,4.366812,6.331878,0,0,6.331878,33.893353,93.265993,55.645718,15.010458,22.046205,3.970407,0.0998,8.924612,20.591862,0.783699,4.913295,45.833333,5.263158,9.79021,0.418775,753.630892,1,6350,1,0,0,2,4,1,0,0,4,1,3.28,3.682922,13.41,0,17.92,0,2.927289,79.208325,94.052234,3.682922,0,5.222353,66.874107
,Archi,Reggio di Calabria,109,8.668589,684.19442,5931,836,337,164.23445,56.820098,23.604788,3.785373,69.41102,0,4.830918,5.882353,0,5.090909,44.238411,81.868132,53.050552,16.134741,22.977726,3.464948,0.081301,10.830619,19.137792,0.674764,5.912596,39.130435,5.729167,13.861386,0.410663,881.107739,0,0,0,0,0,3,2,0,1,0,3,2,6.16,0,7.97,0,18.78,0.404654,0.781516,93.10403,99.005227,0,0,2.072122,90.237734
,Ortì-Podargoni-Terreti,Reggio di Calabria,52,61.834702,32.66774,2020,209,108,293.779904,53.465347,19.405941,5.256724,63.510848,0,20.731707,0,0,20.731707,35.294118,116.363636,48.913043,17.552322,26.962457,4.034896,0,13.186813,17.775354,0.4914,10.31746,80,1.923077,16.666667,0.467484,540,0,0,0,0,0,0,1,0,0,0,1,0,11.51,0,18.31,0,29.07,0,10.796729,0,47.524752,0,0,15.851444,0
