codice,nome,comune,Numero di sezioni del censimento,Superficie a fini statistici (Km2),Densità abitativa - Abitanti/Km2,Popolazione residente totale,Popolazione residente in età 0-14 anni,Stranieri residenti,Indice di vecchiaia,Incidenza dei residenti stranieri,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Incidenza degli alunni delle scuole primarie a tempo pieno,Incidenza degli alunni stranieri nelle scuole primarie,Incidenza degli alunni stranieri nelle scuole secondarie di I grado,Incidenza degli alunni stranieri nelle scuole secondarie di II grado,Incidenza degli alunni stranieri nelle scuole,Incidenza degli alunni tra i 6 e i 18 anni e la popolazione residente della stessa fascia di età,Incidenza degli alunni tra i 7 e i 9 anni e la popolazione residente della stessa fascia di età,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ","Uscita precoce dal sistema di istruzione (18-24 anni, stranieri) ","Uscita precoce dal sistema di istruzione (18-24 anni, femmine) ",Giovani di 18-24 anni usciti precocemente dal sistema di istruzione con genitori senza diploma,Indice di affollamento delle abitazioni occupate,Valore immobiliare medio delle abitazioni residenziali,Numero di Musei e Istituzioni similari,Visitatori dei Musei e delle Istituzioni similari,Musei con accesso ai disabili,Ospedali con pronto soccorso,Numero di biblioteche ,Numero di strutture con servizi integrativi per la prima infanzia,Numero di scuole primarie,Numero di scuole primarie a tempo pieno,Numero di scuole secondarie di I grado,Numero di scuole secondarie di II grado,Numero totale di scuole,Numero di stazioni ferroviarie,Prossimità dei musei ,Accessibilità della popolazione residente ai musei,Prossimità delle biblioteche,Accessibilità della popolazione residente alle biblioteche,Prossimità degli ospedali,Accessibilità della popolazione residente agli ospedali,Prossimità delle scuole,Accessibilità della popolazione residente ai servizi educativi per la prima infanzia,Accessibilità della popolazione residente alle scuole,Accessibilità della popolazione residente alle scuole primarie a tempo pieno,Accessibilità della popolazione residente alle scuole secondarie di II grado,Prossimità delle stazioni ferroviarie,Accessibilità della popolazione residente alle stazioni ferroviarie
,S. Croce,Firenze,50,0.469144,8306.622335,3897,338,905,274.556213,232.22992,16.987426,4.872991,76.376246,100,21.824104,6.779661,0,19.398907,114.873418,258.571429,67.709587,10.105632,28.04878,2.260128,0.350109,15.966387,48.528785,1.231717,22.268908,64.516129,21.904762,31.428571,0.343081,3810.309212,5,593831,0,0,2,0,1,1,1,0,2,0,1.1,100,0.67,98.588658,15.11,0,0,100,98.588658,98.588658,100,1.453896,98.588658
,Gioberti,Firenze,37,0.608662,10866.45967,6614,727,698,258.872077,105.533716,19.02026,2.426838,83.563615,0,0,0,10.501193,10.501193,58.625731,0,70.884718,8.395426,16.038882,1.729107,0.088731,7.504363,30.691643,0.966406,8.474576,55.263158,6.451613,6.896552,0.326304,3300,0,0,0,0,0,2,0,0,0,1,1,0,1.37,100,1.35,100,18.22,0,0.566664,100,100,100,100,1.12804,98.049592
,Bellariva,Firenze,33,0.545454,12525.341996,6832,819,970,212.332112,141.978923,20.94555,3.527106,77.525942,100,25.892857,0,0,25.892857,30.629371,84.313725,73.866199,7.203862,15.560392,1.616162,0.059418,6.649778,31.255411,1.372801,11.574074,35.064935,8.737864,21.95122,0.373905,2825,0,0,0,0,0,2,1,1,0,0,1,0,1.29,99.970726,1.27,37.192623,13.1,0,0.08915,100,100,100,100,1.726364,61.504684
,Bandino,Firenze,36,0.958884,7767.363293,7448,840,1127,241.071429,151.315789,20.139635,3.114295,73.183788,100,31.932773,10.817942,0,21.059783,93.520782,127.906977,73.21513,7.847022,15.646941,1.427439,0.164204,11.486119,39.492466,1.854839,9.719222,31.25,9.41704,16.483516,0.397452,2750,0,0,0,0,0,3,1,1,1,0,2,0,3.28,0,1.36,100,12.94,0,0.618227,100,100,100,37.996778,2.405671,0
,Europa,Firenze,64,1.827021,4760.207741,8697,922,644,302.060738,74.048522,19.753938,1.853486,80.591321,79.706601,11.002445,0,22.094508,18.288591,113.774974,132.989691,73.95674,6.664902,13.696225,1.055772,0.118737,6.615385,24.466376,0.930565,7.103825,36.842105,7.421875,16.41791,0.350203,2716.367713,0,0,0,0,1,3,1,1,0,1,2,0,3.04,0,0.92,87.213982,10.81,0,0.665885,100,100,100,89.732092,2.062976,0.402438
,Gavinana,Firenze,38,1.05872,5851.404038,6195,728,678,228.296703,109.443099,20.694108,2.432731,77.66841,0,0,19.078947,0,19.078947,48.396095,0,73.246237,7.37732,17.279412,1.691729,0.131234,9.425134,32.926065,1.280835,15.183246,50.943396,8.62069,26.315789,0.362568,2858.474576,0,0,0,0,2,1,0,0,1,0,1,0,3.68,32.316384,0.37,96.190476,10.02,0,0.217959,100,100,100,61.630347,2.821174,0
,Michelangelo,Firenze,38,1.297089,1604.362272,2081,228,323,222.807018,155.21384,19.461797,3.364879,82.705479,0,0,0,0,0,0,0,67.803331,9.020279,27.758007,2.504318,0.089127,13.406593,39.982729,0.712251,15.079365,50,17.241379,20,0.30164,3968.837098,4,63208,0,0,1,0,0,0,0,0,0,0,0.45,100,1.48,67.323402,17.07,0,1.344996,59.923114,81.355118,67.563671,39.259971,3.815047,0
,S. Spirito,Firenze,44,0.349939,12004.953944,4201,378,939,266.137566,223.51821,17.16258,4.977146,77.445432,0,29.166667,0,8.677686,9.94832,413.783784,73.170732,67.331577,9.365107,28.472222,2.224779,0.476002,12.47191,44.418872,0.834492,19.305019,54.411765,18.115942,32.55814,0.33015,3975.964252,1,6156,0,0,2,3,1,0,0,2,3,0,0.57,87.383956,0.57,40.966437,13.5,0,1.523443,100,45.703404,45.703404,100,3.66698,7.950488
,Bellosguardo,Firenze,14,0.6588,2958.410111,1949,231,228,238.095238,116.983068,20.574654,2.369668,81.663327,0,0,0,0,0,0,0,69.907407,8.330929,25.572519,2.434275,0,8.863198,34.956183,0.978793,10.92437,66.666667,9.090909,11.111111,0.30512,3650,0,0,0,0,0,0,0,0,0,0,0,0,1.1,74.448435,1.18,97.79374,9.69,3.283735,1.056923,100,97.79374,97.79374,91.739354,3.20046,0
,Soffiano,Firenze,22,1.56373,1232.949335,1928,209,176,264.593301,91.286307,19.139004,2.864583,80.616302,60.696517,11.442786,0,13.062409,12.918871,1058.767773,280.434783,72.27907,7.468534,16.942149,1.450777,0,6.412826,29.430052,0.778816,10.280374,0,10.714286,7.692308,0.328809,3279.66805,0,0,0,0,0,5,1,1,0,2,3,0,2.1,0,1.78,33.973029,5.38,67.16805,0.58009,89.419087,100,95.228216,77.904564,3.546667,0
,Due Strade,Firenze,44,4.318376,938.084145,4051,434,452,255.299539,111.577388,21.204641,3.057025,78.262956,100,18.779343,0,0,18.779343,44.323144,134.343434,69.88266,7.73361,18.390805,1.723264,0.052576,9.432049,31.272174,0.933126,13.071895,55.555556,5.223881,20,0.325799,3190.860281,0,0,0,0,0,3,1,1,0,0,1,0,2.72,0,2.06,17.477166,10.51,3.381881,0.89451,99.407554,91.681066,90.125895,48.111577,5.479408,0
,Senese,Firenze,10,0.516155,2144.702837,1107,136,127,227.941176,114.724481,20.054201,1.304348,86.608696,0,0,0,0,0,0,0,70.692432,7.854279,23.776224,2.568807,0.193424,6.498195,27.706422,1.146132,5,0,4.347826,0,0.302103,3166.824752,0,0,0,0,0,0,0,0,0,0,0,0,2,11.472448,2.09,24.661247,13.14,0,0.417688,100,100,100,45.347787,3.481766,0
,Poggio Imperiale,Firenze,17,0.606982,1858.375699,1128,162,130,150,115.248227,25.797872,4.642166,79.461279,0,0,5.343511,7.028754,6.531532,240.932642,0,72.868217,7.081485,21.390374,1.698514,0,8.849558,37.154989,0.274725,18.518519,42.857143,10.638298,20,0.294156,3500,0,0,0,0,0,0,0,0,1,1,2,0,1.43,83.953901,0.93,53.102837,15.19,0,1.392518,83.953901,100,79.698582,100,5.078447,0
,Arcetri,Firenze,10,0.701875,253.606469,178,22,31,218.181818,174.157303,17.41573,2.564103,81.818182,0,0,0,0,0,455.555556,716.666667,61.320755,11.167571,25,3.448276,0,11.363636,41.37931,0,0,0,0,0,0.212235,3500,1,631,0,0,0,0,1,0,0,0,1,0,1.98,25.280899,0.74,0,16.34,0,0.904753,6.741573,100,0,100,5.926498,0
,Sorgane - Cinque Vie,Firenze,20,2.245524,1242.916907,2791,330,292,208.787879,104.621999,22.25009,2.946128,68.197164,100,27.173913,0,0,27.173913,24.411765,72.972973,71.127633,7.867608,19.518072,1.749049,0,8.414239,33.231939,0.760043,17.708333,50,15.841584,23.076923,0.398426,2525,0,0,0,0,0,1,1,1,0,0,1,0,3.77,0,1.75,20.709423,10.46,9.458975,1.65339,93.550699,95.843784,95.843784,88.104622,3.14689,0
,Galluzzo,Firenze,61,3.202399,1584.4374,5074,562,498,254.982206,98.147418,21.028774,2.158611,70.551671,100,10.40724,16.862745,0,13.865546,82.897033,101.398601,72.633818,6.88252,13.243243,1.105199,0.085763,10.045662,32.787556,1.281269,7.580175,29.032258,4.294479,12.195122,0.381131,2857.829129,1,9000,0,0,1,1,1,1,1,0,2,0,1.95,51.379582,1.58,87.071344,12.84,0,1.359426,87.071344,91.880173,91.880173,0,7.433661,0
,Libertà - Savonarola,Firenze,34,0.43933,10488.708789,4608,547,744,206.764168,161.458333,20.377604,3.749407,82.978723,100,25.274725,0,10.58952,13.023679,227.911647,96.240602,72.393752,7.759266,17.908082,1.811594,0.205931,9.29332,35.990338,1.076631,12.765957,46,10.606061,27.5,0.310201,3300,0,0,0,0,2,4,1,1,0,1,2,0,1.1,100,0.3,100,13.24,0,0.52908,100,100,100,100,1.374983,100
,Torre del Gallo,Firenze,12,2.120691,420.146115,891,99,142,237.373737,159.371493,22.222222,1.6,81.877729,0,0,0,0,0,0,0,65.944882,8.677191,24.031008,2.803738,0,7.075472,35.280374,0.732601,13.043478,55.555556,14.285714,22.222222,0.251901,3500,0,0,0,0,0,1,0,0,0,0,0,0,2.48,19.416386,2.33,26.038159,16.28,0,2.337026,48.260382,56.116723,56.116723,0,3.361768,0
,Cascine del Riccio - Cinque Vie,Firenze,16,1.804987,507.482767,916,120,114,195,124.454148,21.39738,3.225806,72.016461,100,5.882353,0,0,5.882353,59.677419,192.592593,69.59847,7.540361,11.504425,1.485149,0,9.13242,34.653465,0.684932,12.765957,100,9.090909,23.076923,0.332554,3074.645197,0,0,0,0,0,0,1,1,0,0,1,0,1.48,0,0.54,14.956332,16.64,6.222707,2.082898,16.921397,46.943231,44.104803,0,4.470272,0
,Ponte a Ema,Firenze,9,0.319058,5096.244599,1626,155,135,306.451613,83.02583,19.926199,0.91047,74.96977,100,10.204082,0,0,10.204082,55,179.411765,76.405733,5.785144,9.958506,0.896287,0.1321,10.138249,24.583867,0.359712,5.084746,28.571429,2.985075,11.764706,0.388524,2525,1,935,0,0,0,1,1,1,0,0,1,0,3.28,0,2.19,0,8.8,100,1.527596,91.820418,100,100,0,6.047499,0
,Monteripaldi,Firenze,16,1.605906,469.516932,754,109,95,177.981651,125.994695,23.076923,2.857143,74.093264,0,0,0,0,0,0,0,69.323671,7.796481,19.78022,3.458213,0,6.936416,29.106628,0.869565,8.888889,0,4.761905,23.076923,0.343352,3085.543767,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,3.33,0,12.13,0,0.88265,0,93.766578,83.289125,0,7.900113,0
,Bagnese - Fiume Greve,Firenze,4,1.84633,225.853407,417,57,25,166.666667,59.952038,24.940048,0.574713,81.192661,0,0,0,0,0,0,0,69.834711,7.599129,13.559322,2.105263,0,4.651163,26.842105,0.729927,2.777778,0,0,0,0.305943,2892.446043,0,0,0,0,0,0,0,0,0,0,0,0,2.84,51.079137,2.16,51.079137,8.38,15.827338,2.21541,66.906475,51.079137,51.079137,0,7.375435,0
,Boboli,Firenze,6,0.709357,1504.178878,1067,116,185,243.965517,173.383318,20.149953,4.210526,83.831283,0,0,0,13.419563,13.419563,1128.828829,0,66.773163,9.804899,22.875817,2.385009,0.347222,10.040161,39.352641,0.617284,8.219178,36.363636,2.857143,25,0.316174,3521.321462,2,1843674,2,0,0,0,0,0,0,1,1,0,0,100,0.15,2.343018,13.99,0,1.691401,100,96.719775,9.934396,100,3.78405,0
,Aeroporto,Firenze,16,2.947874,,203,14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
,Popolazione senza fissa dimora,Firenze,1,0.000595,,1114,150,633,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Crevari,Genova,52,6.19091,251.336249,1556,172,73,298.837209,46.915167,17.802057,1.851852,75.03268,100,2.105263,0,0,2.105263,63.013699,155.555556,72.058824,7.449037,16.149068,1.233046,0,7.578947,27.373613,1.237113,5.882353,33.333333,8.571429,15.384615,0.373321,2350,0,0,0,0,0,0,1,1,0,0,1,0,10.21,0,4.23,0.385604,10.33,32.647815,1.067561,0,54.755784,34.768638,3.598972,4.787356,0
,Voltri,Genova,212,34.961013,324.818962,11356,1153,669,306.938422,58.911589,18.069743,2.388852,68.950564,73.901809,15.503876,10.56338,4.391468,8.695652,144.161545,102.173913,70.077096,7.857051,17.476432,1.073493,0.186094,10.309598,32.105698,0.891573,16.451613,52.777778,13.355049,21.481481,0.36681,1710.215889,0,0,0,1,1,4,4,2,2,1,7,2,8.34,0,4.85,54.913702,7.88,66.211694,4.270365,76.162381,86.359634,74.498063,68.61571,5.566744,66.616766
,Ca Nuova,Genova,27,2.644891,2068.138377,5470,643,488,247.900467,89.213894,21.645338,3.364055,51.002972,100,24.8,0,0,24.8,17.226277,54.032258,57.152565,13.666885,28.038674,3.491363,0.037258,21.218487,60.088203,1.950488,23.86059,30.434783,21.578947,27.272727,0.382187,1650,0,0,0,0,1,0,2,2,0,0,2,0,8.51,0,1.24,0,13.18,0,1.27164,26.946984,95.868373,86.691042,7.568556,3.340483,12.340037
,Palmaro,Genova,73,4.83783,1485.169962,7185,778,533,256.169666,74.182324,19.387613,3.058824,67.254541,100,20.792079,19.262295,0,19.955157,65.075034,77.710843,71.158507,7.592445,15.73499,1.024811,0.192044,9.783213,28.99137,1.613607,11.434978,42.307692,9.359606,18.811881,0.39192,1651.230048,0,0,0,0,0,1,1,1,1,0,2,0,5.88,0,4.73,0.111343,14.33,0.278358,0.174075,88.907446,91.426583,88.935282,35.935978,1.757449,77.967989
,Pra',Genova,67,4.46874,1518.772705,6787,735,484,261.22449,71.312804,20.053043,2.336283,65.373645,100,20.647773,0,0,20.647773,33.908046,96.89441,67.501958,8.484398,18.959913,1.486564,0.058292,12.664005,36.477987,2.16642,15.367483,38.461538,13.181818,20.967742,0.382204,1671.015535,0,0,0,0,0,1,2,2,0,0,2,1,5.11,0,6.25,0,18.01,0,2.567834,86.135259,86.385737,86.385737,0,2.767737,83.100044
,Castelluccio,Genova,51,1.313528,3603.273654,4733,477,176,298.951782,37.185717,18.6985,1.5625,78.117258,100,10.204082,0,0,10.204082,20,50.980392,70.450246,7.09986,13.071895,1.196863,0.166389,9.04908,27.94057,1.41129,6.896552,27.272727,7.142857,19.230769,0.350442,1748.762799,1,300,0,0,0,0,1,2,0,0,1,0,0.48,0,2.08,0,16.2,0,1.643589,54.172829,99.302768,99.302768,0,2.034864,68.582295
,Pegli,Genova,126,3.499496,4605.806295,16118,1610,719,325.776398,44.608512,18.867105,1.413201,80.835036,86.580882,5.147059,8.948195,0,7.19729,71.563422,99.415205,73.376319,6.510925,12.246866,1.020776,0.108985,7.724426,24.666747,0.990295,7.524752,45.098039,4.693878,14.0625,0.347,2055.531367,0,0,0,0,0,4,3,4,1,0,4,1,2.06,0,2.89,0,20.18,0,2.590477,87.448815,88.838566,88.261571,0,2.8389,87.448815
,Multedo,Genova,84,19.570789,232.540452,4551,419,224,321.002387,49.219952,17.710393,1.268616,72.916667,100,6.349206,0,0,6.349206,18.284424,55.172414,71.614883,7.161945,16.118421,0.904782,0.175055,5.574324,23.825937,1.081812,12,47.619048,11.450382,22,0.359683,2049.611734,0,0,0,0,0,0,1,1,0,0,1,0,7.41,0,5.44,0,24.27,0,3.176156,49.351791,90.375742,66.490881,6.350253,5.332976,40.518567
,Sestri,Genova,144,1.53881,11428.309188,17586,1954,2101,251.023541,119.470033,19.657682,3.069642,70.023851,85.978428,26.348228,11.714286,38.051471,24.300053,90,95.38835,71.445747,7.581123,17.557252,1.258,0.066704,8.335191,30.887221,1.842906,15.648855,44.970414,13.226453,25.213675,0.352951,1600,2,265,0,0,1,6,2,2,2,1,5,1,0.37,0,0.24,0,4.85,90.026157,0.232086,99.818037,100,100,99.465484,0.444552,90.606164
,S.Giovanni Battista,Genova,100,5.694121,2378.944771,13546,1407,880,292.324094,64.963827,18.219401,1.933346,71.687006,100,14.059406,0,0,14.059406,37.967115,101.384083,71.905461,7.082694,14.786223,1.0487,0.086994,9.144228,28.357995,1.68526,11.234397,36.507937,8.504399,17.293233,0.364197,1600,0,0,0,1,0,2,3,3,0,0,3,1,4.49,0,4.28,0,12.32,88.291747,3.401076,85.936808,97.253802,95.260594,88.409863,1.742521,73.874206
,Calcinara,Genova,75,2.646114,3606.420034,9543,1065,1177,246.103286,123.336477,20.402389,2.769679,67.658291,95.108696,34.51087,22.150538,15.535504,18.509758,304.598826,97.356828,70.356023,7.832915,18.676471,1.234568,0.211372,6.928214,28.939109,1.756198,19.338843,49.557522,13.584906,19.708029,0.378114,1600,0,0,0,0,0,0,2,2,2,2,6,0,1.78,0,1.62,0,7.47,71.329771,1.283884,95.86084,97.589856,97.589856,97.191659,1.247247,64.183171
,Borzoli Ovest,Genova,48,7.168892,343.00979,2459,304,108,226.315789,43.920293,22.44815,1.60804,68.170632,0,0,0,0,0,0,0,70.252226,7.404435,15.929204,1.975945,0.087489,8.045977,26.890034,1.630435,18.333333,63.636364,11.688312,30.952381,0.366922,1486.989931,0,0,0,0,0,0,0,0,0,0,0,1,3.58,0,4.1,0,7.18,85.441236,2.351173,74.908499,85.197235,85.197235,14.152094,3.124083,77.104514
,Borzoli Est,Genova,48,3.294862,682.577868,2249,253,227,245.059289,100.933748,19.564251,2.141328,62.994113,58.235294,12.352941,0,0,12.352941,71.244635,194.545455,68.925234,8.62519,18.050542,1.30662,0.088731,8.529946,31.184669,2.432046,14.59854,18.181818,15.873016,16.666667,0.367294,1475,0,0,0,0,1,1,1,1,0,0,1,0,8.95,0,3.06,35.749222,19.2,18.586038,1.80221,78.657181,93.419297,93.419297,0,2.745528,78.701645
,Certosa,Genova,68,1.122477,10924.053345,12262,1645,2534,174.103343,206.654706,23.454575,3.682975,62.894818,55.584416,51.948052,41.477273,0,48.663102,39.264214,73.809524,67.998886,9.630659,22.482308,1.82702,0.016852,8.912037,34.914516,2.245389,21.134594,40.454545,18.099548,25.609756,0.403119,1112.144022,0,0,0,0,1,3,1,1,1,0,2,0,6.25,0,0.97,99.208938,12.87,0.301745,0.187144,99.208938,99.510683,99.208938,0,1.221243,88.060675
,Rivarolo,Genova,92,2.860743,3151.279539,9015,1077,1267,238.440111,140.543539,20.554631,3.546667,66.151502,70.523416,45.179063,32.323232,0,38.471673,70.219124,87.272727,68.688492,8.903061,20.362381,1.506634,0.113766,7.549612,31.571846,2.255083,15.427509,30.681818,16.194332,19.014085,0.390524,1154.321809,0,0,0,0,0,2,1,1,1,0,2,1,9.49,0,2.15,76.738769,18.04,0.377149,1.762395,94.12091,92.235164,91.858014,0,1.928084,85.235718
,Teglia,Genova,57,1.49258,3097.991887,4624,620,948,177.096774,205.017301,22.577855,4.670197,58.138598,67.307692,37.820513,23.364486,0,30.489731,108.974359,133.59375,67.593623,9.874265,20.950966,2.100089,0.090212,7.085828,33.154602,1.82083,20.538721,32.394366,18.571429,21.978022,0.403087,1130,0,0,0,0,0,0,2,2,1,0,3,0,8.41,0,1.75,25.692042,13.02,0,0.42852,54.346886,90.700692,90.700692,45.826125,1.648112,55.903979
,Begato,Genova,32,3.506693,1213.108636,4254,431,254,320.881671,59.70851,17.93606,2.647413,61.432638,57.055215,12.269939,0,0,12.269939,37.5,106.730769,65.957447,9.048405,19.417476,1.653283,0.142653,10.91954,39.820501,1.581722,21.759259,55.555556,18.348624,24.615385,0.389661,1425,0,0,0,0,0,0,1,1,0,0,1,0,10.53,0,3.52,0,19.35,0,2.697071,75.99906,28.537847,28.537847,6.182417,3.850926,6.182417
,Bolzaneto,Genova,162,9.957974,1171.824768,11669,1359,1580,238.70493,135.401491,20.42163,3.793532,60.460113,63.803681,28.629857,27.759197,30.615165,29.38803,102.552204,95.033113,65.592055,9.993544,22.271293,1.490288,0.08466,12.944764,41.862023,1.981982,19.525802,46.728972,13.099042,24.309392,0.381604,1254.962687,0,0,0,0,1,5,2,1,1,1,4,1,8.88,0,3.51,0,15.69,0,0.459967,92.741452,83.289056,78.807096,74.068044,1.228962,73.939498
,Morego,Genova,59,3.779054,376.284641,1422,139,48,292.086331,33.755274,18.846695,2.199662,62.967914,0,0,0,0,0,0,0,70.983811,7.833049,15.246637,2.080238,0.150602,8.086253,26.894502,1.182033,9.411765,50,9.677419,18.181818,0.345611,920,0,0,0,0,1,0,0,0,0,0,0,0,7.42,0,3.65,0,11.87,0,3.636461,0,0,0,0,3.783148,0
,S.Quirico,Genova,99,4.056754,1009.920809,4097,516,375,180.03876,91.530388,23.090066,3.192641,64.491449,0,0,0,0,0,0,0,70.28244,7.690666,18.060201,1.822785,0.102407,10.011919,33.620253,1.259259,14.61039,40,14.285714,20.833333,0.393998,1431.051213,0,0,0,0,0,1,0,0,0,0,0,1,4.61,0,2.86,0,7.42,74.957286,1.57496,69.636319,24.96949,24.96949,15.230657,0.61358,63.021723
,Pontedecimo,Genova,136,3.148514,2525.000778,7950,841,673,279.904875,84.654088,18.742138,2.224969,67.46225,71.111111,32.380952,21.296296,42.708333,30.143541,68.27503,105.319149,70.920218,7.907046,15.384615,1.24603,0.074056,9.627907,31.126313,2.028146,12.55814,45,12.637363,16.091954,0.37244,1175,0,0,0,1,0,4,1,1,1,2,4,1,3.17,0,2.72,0,7.16,96.553459,2.442572,86.603774,85.421384,68.440252,86.603774,2.692833,80.251572
,Cornigliano,Genova,89,3.778697,3516.820587,13289,1685,2690,188.130564,202.423057,22.153661,4.364421,58.829268,73.743017,44.134078,39.805825,0,42.553191,55.778223,87.896254,66.861425,10.235368,24.341463,1.878084,0.08058,7.891012,35.397103,2.532617,24.516129,47.674419,19.093079,27.819549,0.39571,1141.433893,0,0,0,0,2,2,3,3,1,0,4,1,2.45,0,0.7,92.339529,10,4.981564,0.40416,84.077056,98.728272,98.728272,26.337572,0.866091,74.204229
,Campi,Genova,36,1.418493,793.800363,1126,156,306,154.487179,271.758437,23.090586,5.631068,57.12,0,0,0,0,0,0,0,64.868805,10.798895,24.84472,3.007519,0,9.259259,41.353383,2.735562,18.918919,38.095238,17.142857,36.842105,0.425777,1243.507109,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,3.56,69.538188,7.53,0,2.945161,68.916519,86.056838,85.879218,68.916519,3.193928,69.360568
,Campasso,Genova,55,0.842193,9731.741683,8196,1093,2385,166.971638,290.995608,23.352855,5.350554,61.251963,0,0,0,0,0,0,0,66.006533,10.640611,23.886329,1.866136,0.025138,8.45679,36.601145,2.337229,25.208681,44.298246,19.215686,23.026316,0.414589,1075.296486,0,0,0,0,0,1,0,0,0,0,0,0,5.23,0,1.6,21.010249,9.51,25.219619,1.100122,100,100,100,86.078575,1.223119,86.603221
,S.Gaetano,Genova,35,0.343178,26272.066752,9016,1108,1827,216.064982,202.639752,21.783496,3.69509,68.054959,56.087551,58.960328,0,15.072464,33.238958,161.790183,184.090909,70.811236,8.303619,18.134715,1.478953,0.137615,7.347505,29.806598,1.734958,18.914474,39.869281,12.413793,24.427481,0.378529,1052.879326,0,0,0,0,0,1,2,1,0,2,4,0,4.4,0,0.77,50.432564,6.8,83.795475,1.048038,100,100,100,97.238243,0.476532,97.238243
,Sampierdarena,Genova,86,2.698657,3247.91137,8765,1123,2506,183.348175,285.909869,22.509983,4.706771,66.363828,66.966967,54.054054,43.996158,7.48538,31.493943,221.529175,90.222222,68.050193,10.064572,20.830131,2.043213,0.11868,8.526713,36.073274,2.716785,22.585925,43.636364,15.087719,29.411765,0.355158,970.884831,1,35008,0,0,4,4,1,1,2,1,4,1,1.41,0.125499,1.08,35.755847,8.65,83.707929,1.622642,100,97.478608,97.478608,97.478608,1.137567,100
,Belvedere,Genova,32,0.475013,16955.329837,8054,961,1033,238.605619,128.25925,20.362553,2.175209,73.113322,73.623188,21.73913,0,0,21.73913,40.578035,100.490196,72.715084,7.358391,15.977444,1.597052,0.223214,7.652091,28.722359,1.542722,14.889336,49.367089,10.526316,18.75,0.363503,1108.310777,0,0,0,1,0,2,2,2,0,0,2,0,4.6,0,1.42,0,5.79,94.176807,0.301167,91.91706,91.91706,91.91706,90.663025,1.255357,77.675689
,S.Bartolomeo,Genova,49,0.887766,10235.807895,9087,1023,1666,243.206256,183.338836,19.863541,3.297566,67.480184,100,61.111111,0,16.257089,20.411664,119.088937,30.331754,70.256803,8.393422,18.486739,1.399655,0.064977,7.940009,30.577089,1.950355,15.964912,36.363636,15.769231,24.031008,0.370917,1077.384725,0,0,0,0,0,1,1,1,0,1,2,1,3.85,0.077033,1.64,0,5.02,96.192363,2.613045,98.822494,98.866513,98.866513,99.713877,1.273788,94.25553
,Angeli,Genova,64,1.088436,9080.001418,9883,1049,1119,270.448046,113.224729,18.789841,2.694685,69.820775,85.714286,23.109244,21.259843,21.068796,21.320755,197.946612,68.055556,72.194514,7.505698,16.997617,1.278079,0.01955,8.339768,28.698683,1.259843,13.913043,38.372093,8.391608,20.720721,0.376921,1519.50779,0,0,0,0,0,3,2,2,1,2,5,0,5.18,36.881514,0.1,0,9.43,39.502175,0.26531,100,100,100,87.979358,1.324518,56.683193
,S.Teodoro,Genova,71,1.375402,8785.797356,12084,1265,1287,279.051383,106.504469,19.960278,3.083963,74.128948,83.268482,17.315175,6.711409,0,13.423645,68.069897,119.927536,70.951043,8.071508,19.897669,1.090909,0.016706,7.424812,25.652893,0.791917,19.858156,60.540541,9.189189,14.96063,0.356862,1661.521433,1,19042,0,0,2,4,3,3,1,0,4,0,2.94,51.53095,2.51,0,12.02,4.799735,0.40449,97.500828,99.966898,99.966898,73.990401,1.504873,67.030785
,Lagaccio,Genova,45,0.852905,10803.076197,9214,1042,1570,221.59309,170.39288,20.208379,3.914505,69.541939,65.170279,26.780186,38.582677,0,28.719276,81.025641,191.428571,69.160915,9.169168,22.205663,1.200171,0.130011,6.977863,29.597085,2.077562,17.815126,50.4,10.447761,19.685039,0.365026,1478.06056,0,0,0,0,1,2,3,3,1,0,4,0,1.86,96.559583,1.64,0,13.65,0,0.178722,100,100,100,92.45713,1.846473,92.45713
,Oregina,Genova,46,1.836412,5863.609414,10768,1157,680,272.601556,63.150074,19.019316,1.807093,75.350341,87.610619,1.769912,9.384164,0,7.488987,42.212389,34.955752,73.287671,7.293594,16.138329,1.077548,0.088984,7.879209,25.313549,1.123272,8.852459,27.083333,6.60066,14.563107,0.380669,1550,0,0,0,0,0,1,1,1,1,0,2,0,3.45,56.640045,3.2,0,18.9,0,1.295981,99.981426,99.981426,99.981426,15.286033,3.194878,12.657875
